Account Number,Date,Revenue Amount,Type,Fund,Campaign,Appeal,Primary City,Primary State,Primary ZIP Code
9765,1/11/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Galena,OH,43021
323,1/11/25,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Powell,OH,43065
1351,1/11/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
32,1/11/25,$100.00 ,Recurring Donation Payment,Unrestricted,,,St. James City,FL,33956
193,1/11/25,$30.00 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-1721
10589,1/10/25,$250.00 ,Donation,Nationwide Childen's Hospital,2025 Celebrating A Decade of Hope and Healing,,,,
9738,1/10/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43214
1117,1/10/25,$25.00 ,Recurring Donation Payment,Unrestricted,,,Pleasant Hill,CA,94523-2624
866,1/8/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Uniontown,OH,44685
1578,1/6/25,$15.91 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Fairmont,WV,26554
284,1/6/25,$73.10 ,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43221-2740
10685,1/5/25,,Soft Credit,Unrestricted,2025 Celebrating A Decade of Hope and Healing,2024 Year End Campaign,,,
9121,1/5/25,$500.00 ,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,2024 Year End Campaign,,,
61,1/5/25,$25.87 ,Recurring Donation Payment,Unrestricted,,,West Jefferson,OH,43162-9658
1631,1/3/25,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43220
9618,1/3/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Hilliard,OH,43026
9109,1/3/25,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Powell,OH,43065
590,1/3/25,$10.71 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Washington,DC,20007
2543,1/3/25,$10.53 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235-6114
394,1/2/25,$21.11 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,"Columbus, Ohio",OH,43214
10340,1/2/25,$104.30 ,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43235
9736,1/1/25,$73.10 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Columbus,OH,43220
752,1/1/25,$10.71 ,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43214
2544,1/1/25,$51.43 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
5,1/1/25,$51.43 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
91,1/1/25,$5.00 ,Recurring Donation Payment,Unrestricted,,,Goodyear,AZ,85395
2264,1/1/25,$15.64 ,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-7583
8001,1/1/25,$20.00 ,Recurring Donation Payment,Unrestricted,,,Oak Island,NC,28461
10823,12/31/24,$200.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Sacramento,CA,95819
8956,12/31/24,$10.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43235-1320
9637,12/31/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Grandview Heights,OH,43212
10818,12/31/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Guilford,CT,06437-3525
10817,12/31/24,$208.28 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43230
946,12/31/24,$260.28 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Rochester Hills,MI,48309
2303,12/31/24,$52.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Portsmouth,RI,02871
9666,12/31/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Lewis Center,OH,43035
613,12/31/24,$52.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43214
10443,12/30/24,$50.00 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,DUBLIN,OH,43016
9735,12/30/24,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43235
10816,12/30/24,$520.24 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Troy,MI,48084
10700,12/30/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43221
8240,12/30/24,$52.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Westerville,OH,43081
1395,12/29/24,"$1,040.18 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Cincinnati,OH,45241
10815,12/28/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Warren,RI,02885
9328,12/28/24,$520.24 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dublin,OH,43017
250,12/28/24,$25.87 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
1367,12/27/24,$520.24 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Yellow Springs,OH,45387
10556,12/27/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,WORTHINGTON,OH,43085
10724,12/26/24,"$90,000.00 ",Donation,Unrestricted,Sam's Fans 2024,,,,
8956,12/26/24,$10.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43235-1320
10583,12/26/24,$250.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Canal Winchester,OH,43110
499,12/26/24,$75.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43221
256,12/26/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Westerville,OH,43081
2350,12/26/24,$500.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43209-1667
186,12/26/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43231
1368,12/26/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dayton,OH,45429
177,12/26/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43209
10159,12/26/24,$50.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Galena,OH,43021
9977,12/26/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43220
9230,12/26/24,$25.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43214
7972,12/26/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Athens,OH,45701-3600
9096,12/26/24,$45.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Pataskala,OH,43062
1301,12/26/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Avon,OH,44011-1905
10810,12/26/24,"$1,000.00 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43220
715,12/26/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43214
1334,12/26/24,$204.81 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43085-7216
8677,12/25/24,$27.35 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Mount Vernon,OH,43050
726,12/25/24,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43220
10809,12/25/24,$52.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Delaware,OH,43015
8225,12/24/24,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Dublin,OH,43016
2041,12/24/24,$104.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
268,12/24/24,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Tavares,FL,32778
10226,12/24/24,$257.65 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Jamestown,RI,02835
9677,12/23/24,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Sewickley,PA,15143
535,12/22/24,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
770,12/21/24,$26.31 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Pataskala,OH,43062
163,12/20/24,$22.80 ,Recurring Donation Payment,Unrestricted,,,Powell,OH,43065
2015,12/20/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Delaware,OH,43015
10808,12/19/24,$52.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Grandview Heights,OH,43212
1951,12/19/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Williamsburg,VA,23188
10807,12/19/24,$26.31 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43215
10806,12/19/24,$520.24 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Upper Arlington,OH,43221
8593,12/19/24,$208.28 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Powell,OH,43065
10461,12/19/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43212
165,12/18/24,$104.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Beavercreek,OH,45434
10805,12/18/24,$250.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Cleveland,OH,44124
10804,12/18/24,$39.14 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,,,
630,12/18/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dublin,OH,43017
8225,12/18/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dublin,OH,43016
9769,12/18/24,"$1,000.00 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Westerville,OH,43082
8231,12/18/24,$20.76 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-4014
228,12/17/24,$78.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Kirtland,OH,44094
2139,12/17/24,$78.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Galena,OH,43021
7971,12/17/24,$260.28 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43235
8844,12/17/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Gahanna,OH,43230
8353,12/17/24,"$1,040.18 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Saint James City,FL,33956
8146,12/17/24,$260.28 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Chardon,OH,44024
10124,12/17/24,$250.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,GALENA,OH,43021
10799,12/16/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,,,
2143,12/16/24,"$1,040.18 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,La Grange,IL,60525
1566,12/15/24,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Darien,CT,06820-3204
10382,12/15/24,$21.11 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
9068,12/15/24,$15.91 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,columbus,OH,43235
9739,12/15/24,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Dublin,OH,43017
8913,12/15/24,$52.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Powell,OH,43065
1851,12/15/24,$26.31 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Westerville,OH,43081
383,12/15/24,$100.00 ,Recurring Donation Payment,Unrestricted,,,Bremerton,WA,98312
2155,12/15/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Lewis Center,OH,43035
8677,12/14/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Mount Vernon,OH,43050
8831,12/14/24,$25.87 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43221
10796,12/13/24,$520.24 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dublin,OH,43017
8575,12/12/24,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Sammamish,WA,98074
1231,12/12/24,$20.00 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Edgewater,FL,32132-6942
535,12/12/24,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43214
10585,12/11/24,"$5,000.00 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Lebanon,OH,45036
8858,12/11/24,"$1,000.00 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Wilton,CT,06897-1827
9671,12/11/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43206
10801,12/11/24,$60.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,,,
9765,12/11/24,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Galena,OH,43021
1351,12/11/24,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
323,12/11/24,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Powell,OH,43065
10791,12/11/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dublin,OH,43017
32,12/11/24,$100.00 ,Recurring Donation Payment,Unrestricted,,,St. James City,FL,33956
193,12/11/24,$30.00 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-1721
9738,12/10/24,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43214
10790,12/10/24,$250.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43215
10789,12/10/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Ronan,MT,59864
1117,12/10/24,$25.00 ,Recurring Donation Payment,Unrestricted,,,Pleasant Hill,CA,94523-2624
866,12/8/24,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Uniontown,OH,44685
1578,12/6/24,$15.91 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Fairmont,WV,26554
1401,12/6/24,$100.00 ,Donation,Unrestricted,Sam's Fans 2024,,Rochester Hills,MI,48309
1970,12/5/24,"$1,000.00 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43220-2848
480,12/5/24,$500.00 ,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43221
305,12/5/24,$150.00 ,Donation,Unrestricted,,2024 Year End Campaign,COLUMBUS,OH,43212-1803
1372,12/5/24,"$1,500.00 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Bellbrook,OH,45305
10788,12/5/24,$52.30 ,Donation,Unrestricted,Sam's Fans 2024,,Pleasant Valley,NY,12569
61,12/5/24,$25.87 ,Recurring Donation Payment,Unrestricted,,,West Jefferson,OH,43162-9658
690,12/4/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43221
10787,12/3/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43235
1631,12/3/24,$52.30 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43220
9618,12/3/24,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Hilliard,OH,43026
8844,12/3/24,$52.30 ,Donation,Unrestricted,Sam's Fans 2024,,Gahanna,OH,43230
9109,12/3/24,$26.31 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Powell,OH,43065
590,12/3/24,$10.71 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Washington,DC,20007
8830,12/3/24,$260.28 ,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43201
8830,12/3/24,$260.28 ,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43201
10444,12/3/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,,Lakeside,OH,43440
163,12/3/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,,Powell,OH,43065
1451,12/3/24,$104.30 ,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43204
2543,12/3/24,$10.53 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235-6114
394,12/2/24,$21.11 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,"Columbus, Ohio",OH,43214
9736,12/1/24,$73.10 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Columbus,OH,43220
2544,12/1/24,$51.43 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
5,12/1/24,$51.43 ,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
91,12/1/24,$5.00 ,Recurring Donation Payment,Unrestricted,,,Goodyear,AZ,85395
2264,12/1/24,$15.64 ,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-7583
8001,12/1/24,$20.00 ,Recurring Donation Payment,Unrestricted,,,Oak Island,NC,28461
78,11/30/24,$250.00 ,Donation,Unrestricted,Sam's Fans 2024,2025 TOH,Powell,OH,43065-7600
10821,11/30/24,"$1,000.00 ",Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,,,
10443,11/30/24,$50.00 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,DUBLIN,OH,43016
9735,11/30/24,$24.23 ,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43235
